,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
76,2018-04-17 21:00:00-05:00,43255,1.23698,1.23973,1.23416,1.23742,1.23674,1.23967,1.23408,1.23716,1.23721,1.23982,1.23423,1.23767
77,2018-04-18 21:00:00-05:00,47499,1.23742,1.24004,1.23292,1.23451,1.23716,1.23997,1.23285,1.23426,1.23767,1.24011,1.23299,1.23476
78,2018-04-19 21:00:00-05:00,44915,1.23451,1.23528,1.22498,1.22884,1.23426,1.23522,1.22489,1.22854,1.23476,1.23534,1.22506,1.22914
79,2018-04-22 21:00:00-05:00,43453,1.22884,1.22896,1.21975,1.22083,1.22854,1.2289,1.21966,1.22057,1.22914,1.22918,1.21983,1.22109
80,2018-04-23 21:00:00-05:00,47020,1.22083,1.22449,1.21817,1.2233,1.22057,1.22443,1.2181,1.223,1.22109,1.22457,1.21824,1.2236
81,2018-04-24 21:00:00-05:00,41689,1.2233,1.22388,1.21604,1.21608,1.223,1.22379,1.21583,1.21583,1.2236,1.22397,1.21613,1.21632
82,2018-04-25 21:00:00-05:00,65983,1.21608,1.22101,1.20965,1.21032,1.21583,1.22094,1.20959,1.2101,1.21632,1.22108,1.20971,1.21055
83,2018-04-26 21:00:00-05:00,48798,1.21032,1.2133,1.20556,1.21303,1.2101,1.21324,1.20549,1.21273,1.21055,1.21353,1.20562,1.21333
84,2018-04-29 21:00:00-05:00,45831,1.21303,1.2139,1.20646,1.2079,1.21273,1.21384,1.20632,1.20765,1.21333,1.21402,1.20652,1.20816
85,2018-04-30 21:00:00-05:00,41295,1.2079,1.20842,1.19812,1.1992,1.20765,1.20835,1.19803,1.19897,1.20816,1.20863,1.19818,1.19944
86,2018-05-01 21:00:00-05:00,70551,1.1992,1.2032,1.19376,1.19506,1.19897,1.20313,1.19368,1.19476,1.19944,1.20326,1.19383,1.19535
87,2018-05-02 21:00:00-05:00,63454,1.19506,1.20089,1.19474,1.19889,1.19476,1.20082,1.19465,1.19866,1.19535,1.20096,1.19481,1.19912
88,2018-05-03 21:00:00-05:00,55412,1.19889,1.19956,1.19102,1.19619,1.19866,1.19949,1.19094,1.19589,1.19912,1.19963,1.19111,1.19649
89,2018-05-06 21:00:00-05:00,36386,1.19619,1.19782,1.18972,1.19228,1.19589,1.19775,1.18966,1.19202,1.19649,1.1979,1.18979,1.19254
90,2018-05-07 21:00:00-05:00,57703,1.19228,1.19391,1.1838,1.18644,1.19202,1.19384,1.18373,1.18617,1.19254,1.19398,1.18386,1.1867
91,2018-05-08 21:00:00-05:00,50014,1.18644,1.1897,1.18224,1.18512,1.18617,1.18964,1.18216,1.18482,1.1867,1.18977,1.18232,1.18541
92,2018-05-09 21:00:00-05:00,67964,1.18512,1.19466,1.18432,1.19156,1.18482,1.19459,1.18423,1.1913,1.18541,1.19472,1.18439,1.19183
93,2018-05-10 21:00:00-05:00,45179,1.19156,1.19682,1.18912,1.1941,1.1913,1.19675,1.18905,1.1938,1.19183,1.19688,1.1892,1.1944
94,2018-05-13 21:00:00-05:00,40490,1.1941,1.19964,1.1926,1.19266,1.1938,1.19957,1.19237,1.19237,1.1944,1.1997,1.19273,1.19294
95,2018-05-14 21:00:00-05:00,60566,1.19266,1.19387,1.18202,1.18374,1.19237,1.1938,1.18194,1.18349,1.19294,1.19394,1.18208,1.18398
96,2018-05-15 21:00:00-05:00,71967,1.18374,1.18542,1.17632,1.1808,1.18349,1.18535,1.17625,1.18051,1.18398,1.18549,1.1764,1.18109
97,2018-05-16 21:00:00-05:00,61176,1.1808,1.18376,1.17763,1.17941,1.18051,1.18368,1.17756,1.17911,1.18109,1.18383,1.1777,1.17971
98,2018-05-17 21:00:00-05:00,46549,1.17941,1.18222,1.17499,1.17694,1.17911,1.18216,1.17493,1.17664,1.17971,1.18228,1.17505,1.17724
99,2018-05-20 21:00:00-05:00,42299,1.17694,1.17958,1.17164,1.17912,1.17664,1.17952,1.17157,1.17887,1.17724,1.17965,1.1717,1.17937
100,2018-05-21 21:00:00-05:00,51881,1.17912,1.18301,1.17566,1.17779,1.17887,1.18294,1.17559,1.17751,1.17937,1.18308,1.17573,1.17807
101,2018-05-22 21:00:00-05:00,81175,1.17779,1.17897,1.16756,1.16972,1.17751,1.17889,1.16747,1.16948,1.17807,1.17905,1.16764,1.16996
102,2018-05-23 21:00:00-05:00,66651,1.16972,1.17506,1.16905,1.17194,1.16948,1.175,1.16897,1.17164,1.16996,1.17512,1.16913,1.17224
103,2018-05-24 21:00:00-05:00,64344,1.17194,1.17339,1.16453,1.1649,1.17164,1.17332,1.16438,1.1646,1.17224,1.17346,1.16466,1.1652
104,2018-05-27 21:00:00-05:00,53511,1.1649,1.17288,1.16074,1.16239,1.1646,1.1728,1.16065,1.16211,1.1652,1.17295,1.16081,1.16267
